1
$GPGGA,170512.00,4528.72773,N,00533.22838,E,5,06,2.06,553.8,M,47.4,M,1.0,0000*72
$GPGGA,170513.00,4528.72778,N,00533.22836,E,5,06,2.06,553.7,M,47.4,M,1.0,0000*79
$GPGGA,170514.00,4528.72811,N,00533.22822,E,5,06,2.06,553.2,M,47.4,M,1.0,0000*7E
$GPGGA,170515.00,4528.72800,N,00533.22826,E,5,06,2.06,553.4,M,47.4,M,1.0,0000*7D
$GPGGA,170516.00,4528.72799,N,00533.22826,E,5,06,2.06,553.4,M,47.4,M,1.0,0000*71
$GPGGA,170517.00,4528.72791,N,00533.22829,E,5,06,2.06,553.5,M,47.4,M,1.0,0000*76
$GPGGA,170518.00,4528.72789,N,00533.22830,E,5,06,2.07,553.6,M,47.4,M,1.0,0000*7A
$GPGGA,170519.00,4528.72783,N,00533.22832,E,5,07,1.28,553.7,M,47.4,M,1.0,0000*7D
$GPGGA,170520.00,4528.72776,N,00533.22835,E,5,07,1.28,553.7,M,47.4,M,1.0,0000*7A
$GPGGA,170600.00,4528.72792,N,00533.22819,E,5,06,2.07,55*40
